                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79976,                0.52325,                 0.8876,                0.88376,                0.83846,                0.92108,                 0.7158,                0.74959,                0.52876,                0.90611,              0.0086536,              0.0086536,              0.0086536
                     37,                0.79537,                0.51788,                0.88489,                0.88485,                0.83876,                0.92292,                0.71888,                0.74432,                0.51871,                0.90432,               0.008614,               0.008614,               0.008614
                     38,                0.79168,                0.51929,                0.88572,                0.87875,                0.84353,                0.92109,                0.71645,                0.73609,                0.52476,                0.89682,              0.0085744,              0.0085744,              0.0085744
                     39,                0.79048,                 0.5151,                0.88628,                0.87691,                0.84892,                  0.922,                0.71663,                0.73383,                0.52081,                0.89946,              0.0085348,              0.0085348,              0.0085348
                     40,                0.79272,                0.51776,                 0.8862,                0.87232,                0.85093,                 0.9205,                0.71756,                 0.7413,                0.52551,                0.90205,              0.0084952,              0.0084952,              0.0084952
                     41,                0.79181,                0.51319,                0.88477,                0.87473,                0.84692,                0.92131,                0.71753,                0.74168,                0.52825,                0.90049,              0.0084556,              0.0084556,              0.0084556
                     42,                0.78693,                0.51226,                0.88392,                0.88541,                0.84413,                0.92264,                0.72119,                0.73072,                0.51757,                0.89704,               0.008416,               0.008416,               0.008416
                     43,                0.78998,                0.51583,                0.88498,                0.87771,                0.85223,                0.92359,                0.71972,                0.73232,                0.51586,                 0.8961,              0.0083764,              0.0083764,              0.0083764
                     44,                0.78368,                0.50809,                0.88246,                0.88886,                0.83999,                0.92392,                0.72145,                0.73013,                0.52469,                0.89696,              0.0083368,              0.0083368,              0.0083368
                     45,                0.78129,                0.51019,                0.88069,                 0.8872,                0.84306,                0.92517,                0.72407,                 0.7264,                0.51341,                0.89536,              0.0082972,              0.0082972,              0.0082972
                     46,                0.78332,                0.50555,                0.88162,                0.88644,                0.84553,                0.92346,                0.72115,                0.72741,                0.51631,                0.89779,              0.0082576,              0.0082576,              0.0082576
                     47,                 0.7782,                0.50557,                0.88327,                0.88435,                0.84716,                0.92426,                0.72336,                0.72823,                0.51798,                0.89909,               0.008218,               0.008218,               0.008218
                     48,                0.77661,                0.50381,                0.88039,                0.88576,                0.84709,                0.92418,                0.72389,                 0.7248,                0.51391,                0.89406,              0.0081784,              0.0081784,              0.0081784
                     49,                0.77582,                0.50064,                0.88082,                0.88206,                0.85578,                0.92392,                0.72369,                0.72697,                0.51208,                0.89635,              0.0081388,              0.0081388,              0.0081388
                     50,                0.77527,                0.49955,                0.88003,                0.88606,                 0.8527,                0.92679,                0.72728,                0.71904,                0.50901,                0.89102,              0.0080992,              0.0080992,              0.0080992
                     51,                 0.7741,                0.49955,                0.87919,                0.89296,                 0.8456,                0.92681,                0.72499,                0.72337,                0.50788,                0.89214,              0.0080596,              0.0080596,              0.0080596
                     52,                0.77174,                0.49683,                0.87821,                0.88443,                0.84685,                0.92506,                0.72944,                0.71691,                0.50482,                0.89024,                0.00802,                0.00802,                0.00802
                     53,                 0.7703,                0.49814,                0.88012,                0.88429,                0.85129,                 0.9272,                 0.7286,                0.71875,                 0.5064,                 0.8937,              0.0079804,              0.0079804,              0.0079804
                     54,                0.76896,                0.49623,                0.87961,                 0.8819,                0.85394,                0.92671,                0.72909,                0.71816,                0.50902,                0.89128,              0.0079408,              0.0079408,              0.0079408
                     55,                0.76831,                0.49461,                0.87796,                0.88254,                0.85029,                0.92697,                0.72709,                0.71737,                0.50579,                0.88973,              0.0079012,              0.0079012,              0.0079012
                     56,                0.76995,                0.49617,                0.87752,                0.88322,                0.85055,                0.92552,                0.72709,                0.72178,                0.51153,                0.89773,              0.0078616,              0.0078616,              0.0078616
                     57,                0.76333,                0.49306,                0.87803,                 0.8872,                0.84852,                0.92805,                0.73007,                0.71755,                0.50789,                0.89431,               0.007822,               0.007822,               0.007822
                     58,                0.76393,                0.49341,                0.87841,                0.89066,                0.85151,                0.92911,                0.73142,                0.71292,                0.49693,                0.89044,              0.0077824,              0.0077824,              0.0077824
                     59,                0.76868,                0.49302,                0.87756,                 0.8847,                0.85285,                0.92758,                0.73101,                0.71645,                0.50291,                0.89348,              0.0077428,              0.0077428,              0.0077428
                     60,                0.75998,                0.48696,                 0.8771,                0.88694,                0.85199,                0.92804,                0.73061,                0.70977,                0.49579,                0.89076,              0.0077032,              0.0077032,              0.0077032
                     61,                0.76425,                0.48869,                0.87583,                0.88217,                0.85667,                0.92836,                0.73366,                0.71024,                0.49882,                0.89026,              0.0076636,              0.0076636,              0.0076636
                     62,                0.75611,                0.48874,                0.87639,                0.89055,                 0.8523,                 0.9289,                 0.7329,                0.70563,                0.49374,                0.88581,               0.007624,               0.007624,               0.007624
                     63,                0.75546,                0.48433,                0.87341,                0.88893,                0.85374,                0.93062,                0.73385,                0.71137,                0.49121,                0.89099,              0.0075844,              0.0075844,              0.0075844
                     64,                0.75545,                0.48408,                0.87432,                0.88635,                0.85229,                0.93081,                0.73527,                0.70972,                 0.4966,                0.88886,              0.0075448,              0.0075448,              0.0075448
                     65,                0.75563,                0.48593,                0.87649,                0.89032,                0.85174,                0.93014,                0.73452,                0.70669,                0.48482,                 0.8889,              0.0075052,              0.0075052,              0.0075052
                     66,                0.75359,                0.48303,                0.87523,                0.88648,                0.85358,                0.92911,                0.73509,                0.70627,                0.49401,                0.88663,              0.0074656,              0.0074656,              0.0074656
                     67,                0.75522,                0.48321,                0.87501,                0.88989,                0.85549,                0.92983,                 0.7362,                0.71188,                0.49533,                 0.8904,               0.007426,               0.007426,               0.007426
                     68,                0.75192,                0.48322,                0.87428,                0.88316,                0.85916,                0.92966,                0.73516,                 0.7077,                0.49659,                0.88944,              0.0073864,              0.0073864,              0.0073864
                     69,                0.74804,                 0.4796,                0.87301,                0.88734,                0.85812,                0.92931,                0.73538,                0.71305,                0.49268,                0.89331,              0.0073468,              0.0073468,              0.0073468
                     70,                0.75137,                0.48282,                0.87468,                0.89231,                0.85163,                0.92997,                0.73464,                0.71369,                0.49442,                0.89291,              0.0073072,              0.0073072,              0.0073072
                     71,                0.74659,                0.48004,                0.87237,                0.88986,                0.85303,                0.92922,                0.73386,                0.71025,                0.48921,                0.89277,              0.0072676,              0.0072676,              0.0072676
                     72,                0.74955,                0.47737,                0.87346,                0.89278,                0.85343,                0.93143,                0.73727,                0.70518,                0.49022,                0.88897,               0.007228,               0.007228,               0.007228
                     73,                 0.7487,                0.47728,                0.87099,                0.88363,                0.86575,                0.93097,                0.73724,                0.70337,                0.48578,                0.88706,              0.0071884,              0.0071884,              0.0071884
